mimi	33.60004718363	0
n	28.98523295202	0
who	26.66594476285	1
or	24.79065116943	1
m	24.25554522136	1
s	21.2241428288098	0
was	17.8025679648	1
t	16.7700736133199	0
wewe	16.62623364848	0
he	16.44508269974	1
sisi	14.52480094794	0
utafiti	14.50280567263	1
oh	13.44069252571	0
are	12.88802652211	1
ko	12.04623058573	0
while	11.10209292947	0
that	10.73574836361	1
ujumbe	10.677248575	1
mp	10.43738635027	0
u	10.25415790513	0
ndio	9.83591180994995	0
peke	9.35298447842001	0
them	8.87826708781997	1
were	8.85879220633997	1
de	8.60251964816998	1
bra	8.39686743928	0
kati	8.20763308092	1
sheria	7.64214620174	1
made	7.50710316286	0
kuwasaidia	7.4601333659	1
maishani	7.3544108409	1
ndo	7.29006316136002	0
mradi	7.1011908115	1
wadogo	7.04249072569	1
ng	6.90891542335001	0
kasi	6.7802063031	0
o	6.67514681167001	0
hai	6.65863124986	1
macho	6.61433615672	1
jamii	6.2440997046	1
kiingereza	6.2044984933	1
faida	6.17621241272	1
afrika	6.14725934768	0
tarakilishi	6.125913	1
his	6.11196531447999	0
have	6.0744120359	1
mbuzi	6.0626919949	1
yesu	6.04366715609	1
taaluma	6.0435822599	1
aku	5.92296187671001	0
stori	5.8899536425	0
sh	5.87131455666	0
kunyesha	5.8590794065	1
nchini	5.85366648006	0
kusafiri	5.7763140505	1
these	5.72960870487	0
some	5.47372394559	1
fupi	5.4518260496	1
majani	5.4299680416	1
e	5.39990488255	0
she	5.39723845996002	1
said	5.38980270934	0
niya	5.38066640922	0
nae	5.34147196465	0
kaka	5.32337603725	1
kuandika	5.3026462578	1
siyo	5.22573173581	0
kiangazi	5.19936997819	1
ila	5.11716965385	1
kujipanga	5.096408661	1
ofisini	5.0818118722	1
tafadhali	5.06979495492	1
historia	5.0439161426	1
mabaya	5.03510990168	1
nilikuja	4.9946813155	1
mume	4.97511201189	1
vya	4.93631505084	1
hakika	4.8743235335	1
maoni	4.87262083741	1
mbalimbali	4.85766841896	1
our	4.81156139017999	1
nikifungua	4.7230874976	1
vyombo	4.6855149687	1
siri	4.68455801257	1
wapo	4.63272756316002	0
mfupi	4.59626302795	1
kate	4.5769021511	1
mapenzi	4.57609390706	1
walio	4.56196403311	1
use	4.54819892189001	1
bali	4.50950186791	0
mpya	4.50889991296	1
kuacha	4.4977356705	0
kariobangi	4.415176708	1
kubeba	4.3876337268	1
usaidizi	4.3541314045	1
they	4.34991848862	1
makubwa	4.3480470313	1
kuchukuliwa	4.3365487751	1
mabadiliko	4.3169189235	1
mwana	4.30299564921	1
nga	4.29232598442	0
